Rk,Player,Age,Team,Pos,G,GS,Cmp,Att,IAY,IAY/PA,CAY,CAY/Cmp,CAY/PA,YAC,YAC/Cmp,Bats,ThAwy,Spikes,Drops,Drop%,BadTh,Bad%,OnTgt,OnTgt%,PktTime,Bltz,Hrry,Hits,Prss,Prss%,Scrm,Yds/Scr,Plays,Yds,PassAtt,PassYds,RushAtt,RushYds,PassAtt,PassYds,Awards
25.0,Mac Jones,25.0,NWE,QB,11.0,11.0,224.0,345.0,2390.0,6.9,905.0,4.0,2.6,1215.0,5.4,8.0,6.0,0.0,16.0,4.7,54.0,15.9,254.0,74.9,2.2,92.0,30.0,24.0,76.0,20.1,11.0,7.3,28.0,143.0,27.0,138.0,1.0,5.0,51.0,393.0,
26.0,Aidan O'Connell,25.0,LVR,QB,11.0,10.0,213.0,343.0,2567.0,7.5,1155.0,5.4,3.4,1063.0,5.0,7.0,19.0,1.0,15.0,4.6,56.0,17.3,235.0,72.8,2.4,101.0,7.0,22.0,53.0,14.4,0.0,,13.0,119.0,13.0,119.0,0.0,0.0,73.0,544.0,
27.0,Kenny Pickett,25.0,PIT,QB,12.0,12.0,201.0,324.0,2284.0,7.0,1020.0,5.1,3.1,1050.0,5.2,9.0,13.0,1.0,11.0,3.5,57.0,18.4,222.0,71.6,2.4,81.0,33.0,37.0,93.0,25.8,14.0,5.1,18.0,148.0,18.0,148.0,0.0,0.0,46.0,352.0,
28.0,Kirk Cousins,35.0,MIN,QB,8.0,8.0,216.0,311.0,2256.0,7.3,1340.0,6.2,4.3,991.0,4.6,3.0,5.0,2.0,16.0,5.3,39.0,12.8,250.0,82.2,2.5,106.0,21.0,45.0,83.0,25.1,3.0,7.0,15.0,39.0,13.0,39.0,0.0,0.0,85.0,616.0,
29.0,Kyler Murray,26.0,ARI,QB,8.0,8.0,176.0,268.0,1955.0,7.3,822.0,4.7,3.1,977.0,5.6,10.0,5.0,1.0,10.0,3.8,35.0,13.4,196.0,74.8,2.4,73.0,20.0,19.0,57.0,18.8,18.0,9.6,32.0,148.0,22.0,128.0,7.0,20.0,44.0,467.0,AP CPoY-9
30.0,Joshua Dobbs,28.0,2TM,QB,13.0,12.0,262.0,417.0,3307.0,7.9,1452.0,5.5,3.5,1012.0,3.9,9.0,13.0,0.0,15.0,3.7,67.0,16.6,283.0,70.0,2.6,121.0,23.0,58.0,111.0,23.0,36.0,9.2,40.0,355.0,32.0,284.0,7.0,71.0,86.0,485.0,
30.0,Joshua Dobbs,28.0,ARI,QB,8.0,8.0,167.0,266.0,2185.0,8.2,911.0,5.5,3.4,658.0,3.9,7.0,6.0,0.0,8.0,3.1,49.0,18.8,174.0,66.9,2.5,72.0,10.0,35.0,62.0,20.9,14.0,13.1,34.0,327.0,27.0,258.0,6.0,69.0,45.0,283.0,
30.0,Joshua Dobbs,28.0,MIN,QB,5.0,4.0,95.0,151.0,1122.0,7.4,541.0,5.7,3.6,354.0,3.7,2.0,7.0,0.0,7.0,4.9,18.0,12.5,109.0,75.7,2.7,49.0,13.0,23.0,49.0,26.3,22.0,6.8,6.0,28.0,5.0,26.0,1.0,2.0,41.0,202.0,
31.0,Will Levis,24.0,TEN,QB,9.0,9.0,149.0,255.0,2695.0,10.6,1062.0,7.1,4.2,746.0,5.0,5.0,7.0,2.0,12.0,4.9,41.0,16.7,165.0,67.1,2.5,88.0,8.0,46.0,82.0,28.1,9.0,6.3,20.0,115.0,15.0,112.0,3.0,3.0,61.0,574.0,
32.0,Jake Browning,27.0,CIN,QB,9.0,7.0,171.0,243.0,1563.0,6.4,827.0,4.8,3.4,1109.0,6.5,7.0,8.0,0.0,9.0,3.8,23.0,9.8,186.0,79.1,2.5,80.0,25.0,26.0,75.0,26.5,16.0,7.7,23.0,167.0,21.0,167.0,1.0,0.0,34.0,381.0,
33.0,Ryan Tannehill,35.0,TEN,QB,10.0,8.0,149.0,230.0,1817.0,7.9,821.0,5.5,3.6,795.0,5.3,5.0,7.0,2.0,12.0,5.4,31.0,14.0,166.0,75.1,2.4,65.0,10.0,30.0,72.0,26.7,8.0,8.3,14.0,113.0,13.0,101.0,1.0,12.0,58.0,537.0,
34.0,Bailey Zappe,24.0,NWE,QB,10.0,6.0,127.0,212.0,1680.0,7.9,631.0,5.0,3.0,641.0,5.0,5.0,8.0,1.0,7.0,3.4,41.0,20.2,145.0,71.4,2.4,82.0,14.0,11.0,50.0,20.3,9.0,7.6,14.0,56.0,10.0,43.0,3.0,13.0,34.0,357.0,
35.0,Joe Flacco,38.0,CLE,QB,5.0,5.0,123.0,204.0,1900.0,9.3,938.0,7.6,4.6,678.0,5.5,3.0,7.0,0.0,9.0,4.6,35.0,17.8,138.0,70.1,2.6,46.0,19.0,14.0,41.0,19.3,0.0,,9.0,177.0,9.0,177.0,0.0,0.0,63.0,704.0,AP CPoY-1
36.0,Tyrod Taylor,34.0,NYG,QB,11.0,5.0,116.0,180.0,1546.0,8.6,763.0,6.6,4.2,578.0,5.0,1.0,8.0,6.0,11.0,6.6,24.0,14.5,134.0,80.7,2.3,55.0,19.0,15.0,51.0,22.8,27.0,5.9,17.0,184.0,15.0,177.0,1.0,7.0,24.0,207.0,
37.0,Tommy DeVito,25.0,NYG,QB,9.0,6.0,114.0,178.0,1161.0,6.5,518.0,4.5,2.9,583.0,5.1,7.0,10.0,0.0,8.0,4.8,21.0,12.5,129.0,76.8,2.6,68.0,16.0,9.0,62.0,26.1,23.0,5.4,16.0,131.0,13.0,123.0,2.0,8.0,19.0,138.0,
38.0,Easton Stick,28.0,LAC,QB,5.0,4.0,111.0,174.0,1204.0,6.9,548.0,4.9,3.1,581.0,5.2,5.0,3.0,1.0,8.0,4.7,32.0,18.8,121.0,71.2,2.4,67.0,6.0,11.0,31.0,15.7,9.0,7.4,35.0,262.0,27.0,226.0,8.0,36.0,25.0,179.0,
