rk,player,age,team,pos,g,gs,tgt,rec,yds,y/r,td,1d,succ%,lng,r/g,y/g,ctch%,y/tgt,fmb,awards
26.0,Terry McLaurin,28.0,WAS,WR,17.0,17.0,132.0,79.0,1002.0,12.7,4.0,47.0,49.2,48.0,4.6,58.9,59.8,7.6,0.0,
27.0,Rashee Rice,23.0,KAN,WR,16.0,8.0,102.0,79.0,938.0,11.9,7.0,44.0,61.8,67.0,4.9,58.6,77.5,9.2,2.0,AP ORoY-6
28.0,Zay Flowers,23.0,BAL,WR,16.0,16.0,108.0,77.0,858.0,11.1,5.0,41.0,55.6,75.0,4.8,53.6,71.3,7.9,0.0,AP ORoY-6
29.0,Breece Hall,22.0,NYJ,RB,17.0,16.0,95.0,76.0,591.0,7.8,4.0,28.0,40.0,50.0,4.5,34.8,80.0,6.2,2.0,AP CPoY-7
30.0,Calvin Ridley,29.0,JAX,WR,17.0,17.0,136.0,76.0,1016.0,13.4,8.0,49.0,48.5,59.0,4.5,59.8,55.9,7.5,1.0,AP CPoY-7
31.0,Brandon Aiyuk,25.0,SFO,WR,16.0,16.0,105.0,75.0,1342.0,17.9,7.0,61.0,70.5,76.0,4.7,83.9,71.4,12.8,1.0,AP-2
32.0,DeAndre Hopkins,31.0,TEN,WR,17.0,16.0,137.0,75.0,1057.0,14.1,7.0,48.0,43.8,61.0,4.4,62.2,54.7,7.7,0.0,
33.0,Alvin Kamara,28.0,NOR,RB,13.0,12.0,86.0,75.0,466.0,6.2,1.0,23.0,45.3,25.0,5.8,35.8,87.2,5.4,0.0,
34.0,Dalton Kincaid,24.0,BUF,TE,16.0,11.0,91.0,73.0,673.0,9.2,2.0,29.0,61.5,51.0,4.6,42.1,80.2,7.4,1.0,
35.0,Cole Kmet,24.0,CHI,TE,17.0,17.0,90.0,73.0,719.0,9.8,6.0,36.0,62.2,53.0,4.3,42.3,81.1,8.0,1.0,
36.0,Amari Cooper,29.0,CLE,WR,15.0,15.0,128.0,72.0,1250.0,17.4,5.0,50.0,53.1,75.0,4.8,83.3,56.3,9.8,2.0,PB
37.0,Jaylen Waddle,25.0,MIA,WR,14.0,14.0,104.0,72.0,1014.0,14.1,4.0,47.0,58.7,60.0,5.1,72.4,69.2,9.8,0.0,
38.0,Jake Ferguson,24.0,DAL,TE,17.0,16.0,102.0,71.0,761.0,10.7,5.0,40.0,55.9,40.0,4.2,44.8,69.6,7.5,0.0,PB
39.0,Jakobi Meyers,27.0,LVR,WR,16.0,16.0,106.0,71.0,807.0,11.4,8.0,46.0,54.7,33.0,4.4,50.4,67.0,7.6,0.0,
40.0,Jordan Addison,21.0,MIN,WR,17.0,14.0,108.0,70.0,911.0,13.0,10.0,38.0,50.0,62.0,4.1,53.6,64.8,8.4,0.0,
