player,predicted_rec_yds,predicted_rec_tds,predicted_receptions,predicted_fantasy_points,normalized_projected,potential_score,avg_fantasy,std_fantasy,games_played,consistency_score,prior_stat_score,final_grade,grade_label
Chris Manhertz,206.1,1.638932178932179,25.7,79.20157142857141,30.184445954362705,30.184445954362705,,,,,,24.6,Risky
Colby Parkinson,350.86,0.98,29.96,77.91,29.69221622610444,29.69221622610444,,,,,,24.4,Risky
Cole Kmet,475.01,4.04,46.99,117.39199999999984,44.739168877099836,44.739168877099836,83.0,21.83269719175042,4.0,73.69554586902906,55.85464333781965,55.9,Depth
Connor Heyward,223.84,1.5456147186147189,26.48,80.49599999999998,30.67776456599284,30.67776456599284,,,,,,24.8,Risky
Dallas Goedert,496.17,2.02,41.99,103.01800000000014,39.26110552150984,39.26110552150984,69.6,10.597169433391162,5.0,84.77418206733766,46.8371467025572,53.3,Depth
Dallin Holker,219.94,0.7956147186147186,26.25,81.72499999999997,31.14614774840694,31.14614774840694,,,,,,25.0,Risky
Dalton Kincaid,446.14,2.0185714285714287,44.15,103.14,39.307600841489055,39.307600841489055,70.5,20.506096654409877,2.0,70.91333849142801,47.442799461642,50.1,Depth
Dalton Schultz,528.3,2.0485714285714285,53.28,118.6900000000001,45.23384859294492,45.23384859294492,90.8,22.004544985070698,5.0,75.76591988686134,61.103633916554514,58.4,Depth
Daniel Bellinger,222.57,0.7556147186147187,26.6,78.97499999999998,30.09809750297263,30.09809750297263,,,,,,24.5,Risky
Darnell Washington,224.14,1.5525036075036072,26.62,79.04999999999998,30.126680691484474,30.126680691484474,,,,,,24.6,Risky
