player,predicted_rush_yds,predicted_rush_tds,predicted_rec_yds,predicted_rec_tds,predicted_receptions,predicted_fantasy_points,normalized_projected,potential_score,avg_fantasy,std_fantasy,games_played,consistency_score,prior_stat_score,final_grade,grade_label
Rico Dowdle,1075.35,2.17,248.54,3.02,38.96,201.59399999999977,57.938344381968044,57.938344381968044,69.0,0.0,1.0,100.0,47.58620689655172,64.8,Flex
Ronnie Rivers,146.84,1.2183333333333333,22.04,0.0,6.27,72.8001666666667,20.922850518358736,20.922850518358736,,,,,,20.9,Risky
Roschon Johnson,201.97,5.98404329004329,96.46,0.0,16.16766666666667,87.18233333333332,25.056301540175816,25.056301540175816,46.0,0.0,1.0,100.0,31.724137931034484,46.1,Depth
Samaje Perine,136.94,1.1166666666666665,318.82,1.14,27.49083333333333,98.27831746031748,28.245299970714726,28.245299970714726,56.0,0.0,1.0,100.0,38.62068965517241,49.8,Depth
Saquon Barkley,1880.61,13.03,278.02,2.0,32.99,335.0679999999998,96.29892345693463,96.29892345693463,101.5,26.04483314082341,4.0,74.34006612391717,70.0,81.6,Elite
Sean Tucker,303.15,1.99,112.57,0.9925,8.6,92.67749999999997,26.635618676447955,26.635618676447955,,,,,,23.2,Risky
Sincere McCormick,193.53,1.974367965367965,22.0,0.0,6.87,67.93833333333332,19.5255541008344,19.5255541008344,,,,,,20.3,Risky
Sione Vaki,146.64,1.3483333333333332,28.08,0.1925,6.12,73.2942023809524,21.064836943308272,21.064836943308272,,,,,,20.9,Risky
Tank Bigsby,763.85,7.03,50.14,0.005,7.02,135.8836666666666,39.05312000961285,39.05312000961285,49.0,0.0,1.0,100.0,33.793103448275865,52.4,Depth
Terrell Jennings,114.36,1.8375,14.61,0.0,6.21,68.88033333333338,19.796285969877214,19.796285969877214,,,,,,20.4,Risky
Tony Jones,128.96,4.529650793650793,13.04,0.0,6.07,68.16296428571427,19.59011329147448,19.59011329147448,,,,,,20.3,Risky
Tony Pollard,1076.06,5.0,238.27,0.0,40.64,205.2440000000002,58.9873585242253,58.9873585242253,76.4,24.613004692641653,5.0,67.7840256930865,52.689655172413794,59.0,Depth
Travis Etienne,556.51,1.98,254.59,0.0,38.91,136.30200000000016,39.17334948436475,39.17334948436475,82.0,42.15447781671598,3.0,48.59210085044269,56.55172413793104,47.6,Depth
Travis Homer,146.63,1.5125,19.4,0.0,6.25,71.58875000000003,20.5746879935644,20.5746879935644,,,,,,20.7,Risky
Trey Benson,303.2,1.51,53.16,0.195,7.06,76.3234523809524,21.935446831097973,21.935446831097973,,,,,,21.3,Risky
Trey Sermon,219.44,1.93,95.73,0.01,15.754333333333332,82.33366666666664,23.66278923759388,23.66278923759388,,,,,,22.0,Risky
Ty Chandler,225.56,1.35,46.11,0.0,6.23,73.05553571428571,20.996243872453828,20.996243872453828,39.0,0.0,1.0,100.0,26.89655172413793,42.8,Depth
Ty Johnson,209.04,1.09,283.12,2.989464285714285,17.57,95.21659523809524,27.365357529406765,27.365357529406765,50.0,11.313708498984761,2.0,77.3725834545788,34.48275862068966,42.4,Depth
Tyjae Spears,313.11,4.01,223.89,1.0,29.83166666666667,111.51666666666682,32.05001655635826,32.05001655635826,65.0,7.0710678118654755,2.0,89.12143430295413,44.827586206896555,50.8,Depth
Tyler Allgeier,644.78,3.0,88.49,0.0,13.246333333333334,112.76383333333342,32.408453671724,32.408453671724,39.666666666666664,8.504900548115382,3.0,78.55907478897615,27.35632183908046,42.2,Depth
Tyler Badie,135.86,2.0269761904761903,14.01,0.0,6.71,65.96425000000005,18.9582003105164,18.9582003105164,,,,,,20.1,Risky
Tyler Goodson,182.26,1.33,58.12,1.2166666666666668,12.63,79.86223809523808,22.95249786142761,22.95249786142761,,,,,,21.7,Risky
Tyrion Davis-Price,113.46,1.8908333333333327,13.58,0.0,6.2,69.47658333333332,19.967648896540435,19.967648896540435,,,,,,20.5,Risky
Tyrone Tracy Jr.,842.36,4.99,283.67,1.0,37.99,182.0159999999997,52.311604963581715,52.311604963581715,74.0,0.0,1.0,100.0,51.03448275862069,63.8,Flex
Will Shipley,149.88,1.3033333333333332,23.64,0.0,6.12,73.4672023809524,21.114557339639912,21.114557339639912,,,,,,20.9,Risky
Zach Charbonnet,567.71,7.84,340.01,1.0,41.97,178.9929999999999,51.44279133288497,51.44279133288497,67.5,40.30508652763321,2.0,40.28876158441359,46.55172413793103,46.9,Depth
Zack Moss,242.37,2.02,185.44,1.01,21.19166666666667,88.97759523809522,25.57226184898423,25.57226184898423,56.5,17.67766952966369,2.0,68.71208988179718,38.96551724137931,41.0,Depth
Zamir White,207.49,1.8875,24.94,0.0,6.8,70.87633333333336,20.369938635067683,20.369938635067683,21.0,0.0,1.0,100.0,14.482758620689657,38.2,Risky
